11,Marigold,,https://lh3.googleusercontent.com/pw/AP1GczMYMX943MpVLcBYOKnjOjgGa4BPq09CD_bA0vDKlV_Aa7zFiffz600mMj2L3VDPylDfA0Sg3O5D_CBMLauIEGh4di_TxW2YymhHuAPV1_t6usYIVTyPAQ8m2efJwHfg8KgJSOMCoE39iPo4Fu2B9QV5_A=w500-h500-s-no-gm
12,Aster,,https://lh3.googleusercontent.com/pw/AP1GczMTcRWKy3hwQY3YonWp9Jm00nPiFIQCKzM0czniy72s5VnwC-sRCHu_Nnx1wv60RHPwd5s7f0fykAvm7bl0hnIGUTXtJX3VTvVjt6grXeuHSYGDcOE22FxCGSF5bywXb9oCYiyJVvaJ_ks8b_vVFd0Rkw=w500-h500-s-no-gm
13,Azalea,,
14,Buttercup,,
15,Chrysanthemum,,
16,Geranium,,
17,Delphinium,,
18,Lavender,,https://lh3.googleusercontent.com/pw/AP1GczNlxgq_9OgzgPzq-ubNHqdfiz7D4Ki0mZpq5QtsOY6UBA0TVMYVWdGv11TmNWJMhWZl4nqwyhoUZ8KxB3C3_6Pt2uHIxF6kiIcnQlwkqPBia971FX3kWilQS-p1xN9EpWAj2UAZCuYz18E8eRlRIdoocg=w500-h500-s-no-gm
19,Snapdragon,"The name Antirrhinums is originally derived from the Green meaning “nose-like” owing to its snout-shaped silhouette.  Whilst the original origins of this glorious bloom are unknown, it is believed that they were once wildflowers in Spain & Italy, brought to other parts of Europe by the Romans.

Legend has it that concealing a snapdragon flower makes a person appear both fascinating and cordial.  The Victorian Language of Flowers suggests the snapdragon is said to represent graciousness.",
20,Zinnia,,
21,Iris,,https://lh3.googleusercontent.com/pw/AP1GczPeTmkh189ITba_JtLkLTZ1QNdYfK08qQJIRQfVBtHpjfPrCgjjCCVjDKXWGPbkO4ZVZEIZnFFenXG3WH5WazIlvWVsvVLgOklWYMcHsUTTzQIpexdWoX80DEKUEgdDpJpqvGxpb2Y3dqRTz0MbmTQqAg=w500-h500-s-no-gm
22,Rose,"The rose is England’s national flower.  Most commonly associated with both love and romance, roses historically were known to mean confidentiality.  Romans would hang roses from the ceilings of banquet halls, and it was understood that any said beneath them whilst under the influence of wine, was to remain confidential.  In the Middle Ages, roses were also suspended from the ceilings of meeting rooms, and it was understood everyone beneath the roses were sworn to secrecy.
",https://lh3.googleusercontent.com/pw/AP1GczMhA_EyOvwfgfuRb6IuEpzmAZeQYyd4JrLFIyAZFsMv-dLTDlTaLwDmOilBz1gjzFJeyUjFzgyjeYvCl5vk6pmL8mo9wx88xlCxzBVgg39qtwdBFUemSefK15e5oG1HP7kZLB5VON0OZJ2EVpyXfxDW4A=w500-h500-s-no-gm
23,Sunflower,,https://lh3.googleusercontent.com/pw/AP1GczOUNxUy8Jk1_j7wm96Mt_dSMLl7Ge_OYGRhUwLe8YpwSCYjITvaNrjpxLx7F_KSAqMPdiPMv4sszCOzRwLiekZ-Il6H4kHgVCYbdO1aHCPZIV1BB18yAkpMmuWMWyzWBULUBQqk0wpk86kbjO1FnLfdKw=w499-h499-s-no-gm
24,Poppy,,https://lh3.googleusercontent.com/pw/AP1GczM8Xem15NsrkI5C_A7aLnyM3bmlHGvuLRxHdirveRVzmkl4RwuvxrvQ7upp5BUaGCcH28g8_of3pl-59bAcOFXQvdfgDZdOJ9RyquDP-EF6TcIulcRSQhVWNWTk4Duig42V4Zp3jexG58s3o9eI5mQYBg=w500-h500-s-no-gm
25,Periwinkle,,
26,Crocus,,
27,Black-eyed Susan,,
28,Daffodil,,https://lh3.googleusercontent.com/pw/AP1GczNcQwEa4YkIjDNKUpNehrlwtxujOhw0dRbCLlX7NP_snZfqUMNYeoAr4fYmhyZuwpEhTRrNNBG7DtdS3YizvwJCzeaWPYOPUPfzcPE0QYyaRJNeO7Q75GO-eSGGW4v5N67Ky7eG4bOesbIkMUkBapFoDg=w500-h500-s-no-gm
29,Petunia,,
30,Ranunculus,,
31,Violet,,
32,Dusty Miller,,
33,Hyacinth,,https://lh3.googleusercontent.com/pw/AP1GczMXySVFqdbI1G77_4_gzUj28Y_V0sHmV_WuHr6IRtFLLx6IWFAfpPB0Jj08MN1HxWskjFOzXdHko0DtdaRKya40fnyOwb_zdwh8Uu9PDsSicJGWNepLmkWB_Lbw8HCei-sdK1Tmni-C_2SHHwZslEiKRA=w500-h500-s-no-gm
34,Begonia,,
35,Camellia,,
36,Clemantis,,
37,Coneflower,,
38,Evening Primrose,,
39,Forget Me Not,,
40,Forsynthia,,
41,Freesia,"The name Freesia derives from botanist Christian P Ecklon who named the delicate bloom after his fellow botanist Friedrich HT Freese as a commemoration of their friendship.  Considered to symbolize friendship, trust and innocence, it has become one of the most popular flowers in the world.

Popular as a wedding flower since the 1950s, freesias are said to represent the trust between a couple and are considered the official flower for a seventh wedding anniversary.
",
42,Gladiolus,,
43,Hellebore,,
44,Hibiscus,,https://lh3.googleusercontent.com/pw/AP1GczOBcyzPHhzjw-zd70qRPOv-4LPjYp5sr5UrpSg5qrS1Pv-gT9az_5kr87g9x03qXqRH5WvLVSdwImEcmgEieFXzSKI2LYlraLbUbP0xpbrvv3lYr0vBJ_6ng-bSqNxqVr_1dZ3not3K_Vkdg_7llZtNYQ=w500-h500-s-no-gm
45,Hydrangea,,https://lh3.googleusercontent.com/pw/AP1GczO2F3zvpkUc5ZHbQLjApPjJl8Gi6Ay7JlgkUsXY4Ius0IntvKUeTcRyjX73eCd-H6p4fGjSdkKil8j65ibcCEn2FDSAnqbNRK-e-qorqACifmVcPar3st0orB-LLenAbLKCZA8YdvDD-dyaslvyI6I_dQ=w500-h500-s-no-gm
46,Jasmine,,
47,Lilac,,
48,Poinsettia,,
49,Queen Anne's Lace,,https://lh3.googleusercontent.com/pw/AP1GczPripLsGAeLY71IOSMh5k5FIXlNugUDWa49H6P8JR1pZV63fXg4KGyXLKr7fTOhYLQAhfbtF8XDS2WU7Wwdhc51DC0MfDZIlLmiAikBTMeSa9rUCoEYy27sW6dqd22fcanmIinMT91fYjYXpi2-JVzsqA=w500-h500-s-no-gm
50,Rhododendron,,https://lh3.googleusercontent.com/pw/AP1GczNLZIFazCk-hTrjbG_Lqt2aDDEeZNT0AHlt0ESUT3KhPfTJPNHsaPX2kfPULQ__jNDqMKdYfEhn0Fu1bbLCMBW4CJfJRQES0JfY1P9eIqwSR0s68MeuNPLzxKPrvfmCAzx_nxhYSfASpZSLRLb0iPTNQA=w500-h500-s-no-gm
